County,PERSONS,PERSONS18,WHITE,BLACK,HISPANIC,ASIAN,AMINDIAN,PISLAND,OTHER,OTHERMLT,WHITE18,BLACK18,HISPANIC18,ASIAN18,AMINDIAN18,PISLAND18,OTHER18,OTHERMLT18
Jackson,20449,15818,17987,424,519,76,1365,39,10,29,14143,379,330,46,878,19,8,15
Clark,34690,24599,32865,119,1292,156,224,12,9,13,23527,52,770,87,141,10,3,9
Lafayette,16836,12487,16102,53,522,78,75,0,1,5,12053,18,322,37,53,0,0,4
Kewaunee,20574,15725,19724,96,463,80,161,8,19,23,15256,49,245,40,102,5,14,14
Barron,45870,35720,43567,500,862,302,564,11,17,47,34325,291,494,177,392,7,10,24
Green Lake,19051,14663,17990,100,743,99,84,9,8,18,14027,57,430,63,65,5,3,13
Pepin,7469,5765,7305,24,72,23,36,2,5,2,5658,13,47,15,24,2,4,2
Columbia,56833,43566,53628,851,1444,406,405,43,26,30,41505,621,865,247,270,27,15,16
Juneau,26664,20991,24706,604,687,161,474,5,11,16,19592,513,428,94,343,4,8,9
Winnebago,134257,105178,122044,3126,4274,3254,1189,63,88,219,97514,2111,2451,2046,914,51,52,120
Chippewa,62376,47675,58989,1151,800,873,479,12,25,47,45364,864,503,535,361,11,11,26
Vernon,29773,21895,28873,190,394,129,121,13,14,39,21414,76,214,75,89,7,8,12
Douglas,44159,34694,40854,713,494,488,1468,19,33,90,32579,376,284,336,1047,14,20,38
Iowa,23687,17798,22904,149,336,160,88,11,19,20,17371,63,172,101,63,8,12,8
Buffalo,12806,9905,12368,46,232,38,78,2,32,10,9654,17,133,24,57,1,17,2
Rock,160255,120091,135454,9246,12120,2046,892,78,157,262,105665,5460,6720,1331,646,54,80,135
Outagamie,176537,132148,158215,2402,6354,5661,3433,88,125,259,121264,1180,3662,3409,2390,60,64,119
Rusk,14755,11440,14284,77,173,67,134,3,2,15,11158,28,108,40,97,2,1,6
Trempealeau,28816,21831,26774,96,1667,138,110,4,15,12,20622,40,988,95,71,3,5,7
Washburn,15905,12674,15222,53,208,74,335,2,2,9,12226,22,123,46,246,2,2,7
Dunn,43857,34798,41225,336,626,1246,316,25,18,65,33111,200,409,786,225,16,13,38
Marinette,41749,33182,40260,182,522,301,405,25,25,29,32221,85,330,203,293,18,15,17
Iron,5916,4935,5772,12,35,23,70,0,0,4,4845,5,18,15,48,0,0,4
Marathon,132420,99946,119595,1213,2919,7369,939,57,92,236,92960,517,1633,4041,615,43,41,96
Grant,51208,40322,49296,666,649,362,183,10,14,28,38922,513,442,265,140,6,13,21
Oconto,36998,28686,35527,123,517,144,643,7,16,21,27780,50,295,94,440,5,12,10
Dane,481486,377039,393357,28885,28787,25466,2507,255,788,1441,319793,17175,18169,18536,1888,186,448,844
Crawford,16644,12920,15991,313,150,74,84,12,5,15,12441,247,96,47,68,6,5,10
La Crosse,114604,90150,104383,2213,1741,5120,816,47,109,175,83973,1149,1089,3172,576,33,58,100
Burnett,15457,12375,14067,120,194,75,954,8,9,30,11496,46,107,41,660,6,8,11
Vilas,21430,17621,18546,59,268,94,2435,5,11,12,15816,33,157,66,1533,3,9,4
Oneida,35998,29359,34560,212,385,240,549,21,11,20,28454,134,215,150,373,16,7,10
Eau Claire,98033,77316,90231,1309,1796,3617,786,64,61,169,72633,653,1074,2231,569,35,39,82
Door,27785,22709,26483,192,671,134,260,4,9,32,21896,92,407,89,196,4,7,18
Racine,195405,146895,145412,23048,22545,2477,1188,71,264,400,115623,15037,13288,1693,867,54,113,220
Shawano,41949,32387,36951,178,905,227,3590,27,12,59,29227,84,503,155,2371,18,4,25
Lincoln,28743,22441,27763,213,340,163,195,21,22,26,21916,63,182,104,136,15,16,9
Ozaukee,86395,66023,80689,1369,1956,1807,353,37,67,117,62520,878,1140,1123,239,26,32,65
Sheboygan,114312,86735,99877,1580,6329,5569,670,30,88,169,78708,800,3552,3064,466,22,47,76
Dodge,88758,69179,81324,2571,3522,607,569,40,42,83,63959,2241,2055,369,441,38,30,46
Green,36775,27842,35046,252,1033,264,119,13,26,22,26865,101,616,140,83,8,15,14
Wood,74340,57416,69814,610,1660,1422,721,17,42,54,54852,238,915,856,492,16,17,30
Ashland,16157,12413,13534,71,302,87,2107,4,8,44,10718,39,167,44,1416,4,7,18
Marquette,15404,12319,14697,103,391,80,124,1,4,4,11900,57,211,51,93,0,4,3
St. Croix,84273,61408,79826,821,1689,1209,537,23,73,95,58970,394,949,638,358,19,36,44
Jefferson,83684,63827,75901,878,5555,732,445,26,75,72,59156,502,3293,470,318,16,32,40
Bayfield,15014,12161,12955,61,158,70,1723,9,9,29,10812,22,91,43,1170,4,9,10
Fond du Lac,100938,78052,92719,1635,4368,1303,724,32,55,102,73112,936,2597,754,543,23,34,53
Calumet,38755,28880,35589,347,1487,958,300,15,25,34,27097,152,803,572,218,10,13,15
Manitowoc,81442,63232,75210,609,2565,2212,662,31,62,91,59800,272,1366,1247,439,25,33,50
Walworth,97542,74834,84515,1170,10177,1014,452,47,74,93,67051,755,5919,660,326,33,34,56
Waushara,24496,19662,22317,500,1329,128,193,10,13,6,18231,440,735,82,158,9,6,1
Menominee,4232,2853,447,20,178,1,3578,0,0,8,423,10,80,1,2338,0,0,1
Polk,43606,33268,41883,190,656,211,589,8,29,40,32243,76,384,118,393,5,23,26
Portage,69539,55137,64424,592,1847,2123,409,24,47,73,51990,325,1089,1324,309,20,31,49
Price,14159,11460,13661,53,153,78,136,66,7,5,11164,13,84,52,103,36,7,1
Washington,131877,99503,124338,1567,3385,1702,635,33,87,130,95324,765,1839,1022,414,22,51,66
Brown,247987,186167,207684,6631,17984,7283,7463,162,218,562,162467,3705,10065,4470,5076,92,96,196
Monroe,44576,32930,41169,626,1661,367,631,51,21,50,30964,366,886,228,415,34,13,22
Pierce,40195,31260,38461,352,610,401,297,14,27,33,30179,186,396,278,183,6,17,15
Florence,4423,3649,4287,13,37,24,57,2,0,3,3560,7,19,20,41,2,0,0
Waukesha,389505,295769,352740,5932,16120,12152,1631,185,315,430,273596,3255,9483,7766,1158,112,143,256
Waupaca,52408,40538,50148,220,1307,246,431,11,23,22,39214,111,732,152,303,7,9,10
Milwaukee,946729,710497,514369,257236,126018,35042,7782,456,1367,4459,432508,168026,77104,23628,5641,330,788,2472
Forest,9304,7261,7646,79,138,18,1381,20,6,16,6222,58,79,13,863,15,3,8
Taylor,18083,13714,17550,66,299,68,78,11,4,7,13406,22,168,43,60,6,3,6
Sawyer,16557,13103,13004,103,268,72,3076,3,5,26,10799,64,144,38,2046,2,5,5
Adams,20875,17454,19013,653,783,109,263,7,13,34,15932,598,591,90,203,6,8,26
Kenosha,158062,116801,122821,11651,19086,2732,1004,104,203,461,95865,6836,11043,1876,726,77,135,243
Richland,17219,13259,16526,110,356,111,88,5,14,9,12848,57,208,67,64,2,8,5
Langlade,19977,15762,19109,131,324,87,308,2,8,8,15264,58,166,51,213,2,4,4
Sauk,61976,47209,57331,510,2675,430,889,21,50,70,44473,254,1560,292,557,13,30,30
