County Name	population-male	population-female
Adams	11221	9654
Ashland	8082	8075
Barron	22814	23056
Bayfield	7716	7298
Brown	122658	125349
Buffalo	6859	6728
Burnett	7806	7651
Calumet	24543	24428
Chippewa	32404	30011
Clark	17577	17113
Columbia	28935	27898
Crawford	8575	8069
Dane	241411	246662
Dodge	46679	42080
Door	13679	14106
Douglas	22087	22072
Dunn	22133	21724
Eau Claire	48351	50385
Florence	2262	2161
Fond du Lac	49926	51707
Forest	4724	4580
Grant	26636	24572
Green	18241	18601
Green Lake	9509	9542
Iowa	11878	11809
Iron	2959	2957
Jackson	10874	9575
Jefferson	41638	42048
Juneau	14029	12635
Kenosha	82444	83982
Kewaunee	10460	10114
La Crosse	55961	58677
Lafayette	8582	8254
Langlade	10032	9945
Lincoln	14412	14331
Manitowoc	40489	40953
Marathon	67308	66755
Marinette	20758	20991
Marquette	7808	7596
Menominee	2098	2134
Milwaukee	457717	490018
Monroe	22648	22025
Oconto	19194	18466
Oneida	17993	18005
Outagamie	88130	88565
Ozaukee	42340	44055
Pepin	3780	3689
Pierce	20420	20599
Polk	22177	22028
Portage	34984	35035
Price	7180	6979
Racine	96771	98637
Richland	9042	8979
Rock	78815	81516
Rusk	7371	7384
St. Croix	42218	42127
Sauk	30848	31128
Sawyer	8393	8164
Shawano	20921	21028
Sheboygan	58010	57497
Taylor	10559	10130
Trempealeau	14638	14178
Vernon	14854	14919
Vilas	10861	10569
Walworth	51237	50991
Washburn	7924	7987
Washington	65393	66494
Waukesha	191355	198536
Waupaca	26447	25963
Waushara	12893	11603
Winnebago	83952	83042
Wood	36777	37972